codigo,componente,titulo original,titulo leigo,CIDS10 possíveis,CID10 mais frequente,definição,critérios de inclusão,critérios de exclusão,considerar,nota,
A01,1,Dor generalizada /múltipla,Dor generalizada /múltipla,R52,R52,,"dor crônica generalizada, dores múltiplas",dor não-específica A29,,,
A02,1,Arrepios/ calafrios,Arrepios/ calafrios,R68.8,R68.8,,"calafrios, tremores",febre A03,,,
A03,1,Febre,Febre,R50,R50,,pirexia,"com exantemas A76, exaustão pelo calor ou golpe de calor A88",,,
A04,1,Debilidade/cansaço geral/fadiga,Debilidade/cansaço geral/fadiga,"G93.3, R53",R53,,"de fadiga crônica, exaustão, fadiga, lassidão, letargia, fadiga pós-viral","sentir-se paciente, má-disposição A05; modorra A29; exaustão pelo calor A88; cansaço por desfasamento de horário (jetlag) A88; sonolência P06",,,
A05,1,Sentir-se doente,Sentir-se doente,R53,R53,,mal-estar,"senescência, senilidade P05, caquexia T08, mal-nutrição T91",,,
A06,1,Desmaio/síncope,Desmaio/síncope,R55,R55,,"perda momentânea da consciência, colapso, crise vasovagal",coma A07; sentir-se tonto/tonturas N17,,,
A07,1,Coma,Coma,R40,R40.2,,letargia,síncope A06,,,
A08,1,Inchaço,Inchaço,R68.8,R68.8,,"alto, massa NE","gânglio linfático B02, edema KO7,articulação L20, mama X19",,,
A09,1,Problemas de sudorese,Problemas de sudorese,R61,R61,,"hiperidrose, suores noturnos, problemas de transpiração",doença das glândulas sudoríparas S92,,,
A10,1,Sangramento/Hemorragia NE,Sangramento/Hemorragia NE,R58,R58,,,,,,
A11,1,Dores torácicas NE,Dores torácicas NE,R07.4,R07,,,"dor atribuída a causas cardíacas K01, à parede torácica L04, ao sistema respiratório R01",,,
A13,1,Receio/Medo do tratamento,Receio/Medo do tratamento,Z71.1,Z71.1,,receio das conseqüências da medicação ou de qualquer tipo de tratamento,"efeitos adversos da medicação A85, complicações do tratamento médico ou cirúrgico A87",,,
A16,1,Criança irritável,Criança irritável,R68.1,R68.1,,"choro excessivo, bebê agitado",cólicas infantis D01; criança ou adulto agitados/irritáveis P04,,,
A18,1,Preocupação com aparência,Preocupação com aparência,R46.8,R46.8,,preocupação com a aparência física,"preocupação com o aspecto das orelhas H15, com a aparência relacionada com a gravidez W21, mama X22",,,
